,ID,count,lat,long,ilon,ilat
677,74918,9653,-34.0249989219,-71.0250007678,119,459
678,74919,10085,-34.0249989269,-70.9750008958,120,459
679,74920,13110,-34.0249989261,-70.9250010073,121,459
680,74921,3434,-34.0249989298,-70.8750010959,122,459
681,74922,1723,-34.0249989146,-70.8250011867,123,459
682,74923,11071,-34.0249988979,-70.7750012777,124,459
683,74924,2341,-34.0249989102,-70.7250013824,125,459
684,74927,5471,-34.0249989277,-70.5750017189,128,459
685,74928,5217,-34.0249988958,-70.5250017859,129,459
686,74929,2096,-34.0249989015,-70.475001906,130,459
687,75132,381,-34.0749988346,-71.325000191,113,458
688,75133,1624,-34.0749988217,-71.2750002876,114,458
689,75134,2781,-34.0749988172,-71.2250003809,115,458
690,75135,13370,-34.0749988117,-71.1750004858,116,458
691,75136,14240,-34.0749988234,-71.1250006146,117,458
692,75137,9318,-34.074998815,-71.0750007023,118,458
693,75138,4504,-34.0749988044,-71.0250007748,119,458
694,75139,1387,-34.0749988166,-70.9750008892,120,458
695,75140,1927,-34.0749988344,-70.9250010143,121,458
696,75141,7368,-34.0749988476,-70.8750010961,122,458
697,75142,6345,-34.0749988327,-70.8250011733,123,458
698,75143,1291,-34.0749988072,-70.7750012847,124,458
699,75146,375,-34.0749988285,-70.6250016466,127,458
700,75147,6224,-34.0749988117,-70.5750017054,128,458
701,75148,800,-34.0749987861,-70.5250017929,129,458
702,75352,9391,-34.1249987191,-71.3250001912,113,457
703,75353,9265,-34.1249987036,-71.2750002809,114,457
704,75354,15070,-34.1249987081,-71.225000381,115,457
705,75355,8030,-34.1249987231,-71.1750004928,116,457
706,75356,6684,-34.1249987259,-71.1250006147,117,457
707,75357,13331,-34.1249987201,-71.0750006957,118,457
708,75358,17092,-34.124998703,-71.0250007682,119,457
709,75359,11027,-34.1249987201,-70.9750008962,120,457
710,75360,2092,-34.1249987337,-70.9250010145,121,457
711,75361,6658,-34.1249987336,-70.8750010962,122,457
712,75363,150,-34.1249987211,-70.7750012781,124,457
713,75366,1837,-34.124998715,-70.62500164,127,457
714,75367,6082,-34.1249987114,-70.5750017124,128,457
715,75368,815,-34.1249987101,-70.5250017863,129,457
716,75559,293,-34.1749986153,-71.9749989182,100,456
717,75560,190,-34.1749986222,-71.9249989863,101,456
718,75572,858,-34.1749986067,-71.3250001982,113,456
719,75573,14831,-34.1749985864,-71.2750002811,114,456
720,75574,16182,-34.1749985976,-71.2250003881,115,456
721,75575,18596,-34.1749986104,-71.1750004861,116,456
722,75576,15603,-34.174998602,-71.1250006149,117,456
723,75577,5088,-34.1749986168,-71.0750006959,118,456
724,75578,10594,-34.1749986114,-71.0250007752,119,456
725,75579,14713,-34.1749986107,-70.9750008964,120,456
726,75580,12763,-34.1749986178,-70.9250010079,121,456
727,75581,6007,-34.1749986226,-70.8750010964,122,456
728,75586,4274,-34.1749986132,-70.6250016402,127,456
729,75587,6897,-34.1749986205,-70.5750017126,128,456
730,75588,2530,-34.1749986208,-70.5250017933,129,456
731,75589,1325,-34.1749986102,-70.4750018998,130,456
732,75590,441,-34.1749985979,-70.4250020246,131,456
733,75779,300,-34.2249984892,-71.9749989183,100,455
734,75780,766,-34.2249985,-71.9249989933,101,455
735,75781,115,-34.2249985074,-71.8749990837,102,455
736,75782,209,-34.2249985036,-71.8249992061,103,455
737,75791,133,-34.224998523,-71.3750000997,112,455
738,75792,1377,-34.2249985117,-71.3250001916,113,455
739,75793,3225,-34.2249985047,-71.2750002745,114,455
740,75794,6890,-34.2249985202,-71.2250003883,115,455
741,75795,7423,-34.2249985081,-71.1750004932,116,455
742,75796,6250,-34.2249985066,-71.1250006083,117,455
743,75797,9920,-34.2249985194,-71.0750007097,118,455
744,75798,2126,-34.2249985028,-71.0250007617,119,455
745,75799,1232,-34.2249985024,-70.9750008966,120,455
746,75800,2287,-34.2249985008,-70.9250010149,121,455
747,75804,1790,-34.2249985042,-70.7250013832,125,455
748,75805,271,-34.224998501,-70.6750015062,126,455
749,75806,6559,-34.2249985166,-70.6250016472,127,455
750,75807,6969,-34.224998512,-70.5750017128,128,455
751,75808,3036,-34.2249985114,-70.5250017867,129,455
752,75809,3776,-34.2249985111,-70.4750019,130,455
753,75810,4033,-34.2249984997,-70.4250020248,131,455
754,75811,936,-34.2249985064,-70.3750021333,132,455
755,76000,826,-34.2749983956,-71.9249989935,101,454
756,76001,121,-34.2749983962,-71.8749990975,102,454
757,76002,324,-34.2749984179,-71.8249991994,103,454
758,76003,172,-34.2749984118,-71.7749993158,104,454
759,76012,4606,-34.274998407,-71.3250001918,113,454
760,76013,7684,-34.274998411,-71.2750002883,114,454
761,76014,14048,-34.2749984287,-71.2250003816,115,454
762,76015,11031,-34.2749984096,-71.1750004865,116,454
763,76016,13159,-34.2749984128,-71.1250006153,117,454
764,76017,2761,-34.2749984211,-71.0750006963,118,454
765,76018,178,-34.2749984116,-71.0250007687,119,454
766,76019,185,-34.2749984295,-70.9750008967,120,454
767,76020,561,-34.2749984167,-70.9250010083,121,454
768,76021,726,-34.2749984038,-70.8750011036,122,454
769,76024,4357,-34.2749984067,-70.7250013766,125,454
770,76025,4324,-34.2749984281,-70.6750015132,126,454
771,76026,6157,-34.2749984386,-70.6250016406,127,454
772,76027,8807,-34.2749984197,-70.575001713,128,454
773,76028,6052,-34.274998416,-70.5250017937,129,454
774,76029,3373,-34.2749984235,-70.4750019002,130,454
775,76030,5006,-34.2749984105,-70.425002025,131,454
776,76031,948,-34.2749984063,-70.3750021403,132,454
777,76032,128,-34.2749984154,-70.324999986,133,454
778,76220,1135,-34.3249983024,-71.9249989869,101,453
779,76221,219,-34.3249982939,-71.8749990909,102,453
780,76222,475,-34.3249983183,-71.8249992065,103,453
781,76231,674,-34.3249983212,-71.3750001001,112,453
782,76233,406,-34.3249982987,-71.2750002817,114,453
783,76234,9239,-34.3249982957,-71.2250003886,115,453
784,76235,10564,-34.3249983083,-71.1750004799,116,453
785,76236,143,-34.3249983137,-71.1250006223,117,453
786,76237,2655,-34.3249983153,-71.0750006965,118,453
787,76238,2551,-34.3249983104,-71.0250007757,119,453
788,76239,1124,-34.3249983239,-70.9750008901,120,453
789,76240,1277,-34.3249983384,-70.9250010085,121,453
790,76244,3454,-34.3249983053,-70.7250013904,125,453
791,76245,13671,-34.3249983285,-70.6750015066,126,453
792,76246,14542,-34.3249983519,-70.6250016408,127,453
793,76247,4195,-34.3249983367,-70.5750017132,128,453
794,76248,9500,-34.3249983273,-70.5250017871,129,453
795,76249,899,-34.3249983198,-70.4750019072,130,453
796,76250,5391,-34.3249983029,-70.4250020185,131,453
797,76251,2268,-34.3249983057,-70.3750021337,132,453
798,76440,351,-34.3749981933,-71.9249989939,101,452
799,76441,216,-34.3749981939,-71.8749990911,102,452
800,76442,121,-34.3749982188,-71.8249992066,103,452
801,76451,2364,-34.3749982026,-71.3750000935,112,452
802,76452,4144,-34.3749982031,-71.3250001922,113,452
803,76453,1550,-34.3749982016,-71.2750002819,114,452
804,76455,3648,-34.3749982175,-71.1750004937,116,452
805,76456,133,-34.3749982227,-71.1250006089,117,452
806,76457,216,-34.3749982151,-71.0750007035,118,452
807,76463,1464,-34.3749982127,-70.7750012859,124,452
808,76464,9583,-34.3749981926,-70.7250013838,125,452
809,76465,8612,-34.3749981949,-70.6750015136,126,452
810,76466,7020,-34.3749982288,-70.625001641,127,452
811,76467,4210,-34.3749982352,-70.5750017067,128,452
812,76468,4912,-34.374998238,-70.5250017941,129,452
813,76469,142,-34.3749982131,-70.4750019006,130,452
814,76470,1428,-34.3749981897,-70.4250020255,131,452
815,76471,1713,-34.3749982174,-70.3750021339,132,452
816,76472,1307,-34.3749982181,-70.3249999932,133,452
817,76659,149,-34.4249981187,-71.9749989191,100,451
818,76660,354,-34.4249981024,-71.9249989873,101,451
819,76661,449,-34.4249981097,-71.8749990913,102,451
820,76662,282,-34.4249981123,-71.8249992137,103,451
821,76671,255,-34.4249980969,-71.3750000937,112,451
822,76672,1153,-34.4249981101,-71.3250001992,113,451
823,76673,3721,-34.4249981126,-71.2750002753,114,451
824,76674,5562,-34.4249981223,-71.225000389,115,451
825,76675,776,-34.4249981298,-71.1750004871,116,451
826,76676,226,-34.4249981325,-71.1250006159,117,451
827,76677,751,-34.4249981338,-71.0750006969,118,451
828,76678,3286,-34.4249981105,-71.0250007693,119,451
829,76679,3961,-34.4249981079,-70.9750008973,120,451
830,76680,525,-34.4249981086,-70.9250010089,121,451
831,76682,243,-34.424998126,-70.8250011747,123,451
832,76683,3241,-34.4249981363,-70.7750012793,124,451
833,76684,12404,-34.4249981021,-70.725001384,125,451
834,76685,1317,-34.4249981012,-70.675001507,126,451
835,76686,2823,-34.4249981228,-70.625001648,127,451
836,76687,2222,-34.4249981279,-70.5750017137,128,451
837,76688,619,-34.4249981405,-70.5250017875,129,451
838,76690,215,-34.4249981041,-70.4250020189,131,451
839,76692,160,-34.4249981266,-70.3249999934,133,451
840,76880,521,-34.4749980223,-71.9249989943,101,450
841,76881,196,-34.4749980341,-71.8749990915,102,450
842,76882,127,-34.4749980326,-71.8249992002,103,450
843,76884,271,-34.474998039,-71.7249993954,105,450
844,76885,533,-34.474998017,-71.6749994846,106,450
845,76886,207,-34.4749980238,-71.6249995977,107,450
846,76887,475,-34.4749980305,-71.5749997302,108,450
847,76889,119,-34.4749980425,-71.4749999073,110,450
848,76892,407,-34.4749979997,-71.3250001926,113,450
849,76893,7929,-34.4749980036,-71.2750002823,114,450
850,76894,11015,-34.4749980263,-71.2250003824,115,450
851,76895,1512,-34.4749980378,-71.1750004873,116,450
852,76896,1506,-34.4749980355,-71.1250006161,117,450
853,76897,413,-34.4749980228,-71.0750007039,118,450
854,76898,1691,-34.4749980173,-71.0250007628,119,450
855,76899,690,-34.4749980234,-70.9750008976,120,450
856,76900,254,-34.4749980236,-70.9250010091,121,450
857,76902,3793,-34.4749980128,-70.8250011817,123,450
858,76903,5435,-34.474998036,-70.7750012795,124,450
859,76904,9145,-34.4749980258,-70.7250013774,125,450
860,76905,9691,-34.4749980194,-70.6750015208,126,450
861,76906,5538,-34.4749980262,-70.6250016346,127,450
862,77098,148,-34.5249979182,-72.0249988456,99,449
863,77100,593,-34.5249979049,-71.9249989877,101,449
864,77101,1088,-34.5249979187,-71.8749990917,102,449
865,77102,2346,-34.5249979311,-71.8249992072,103,449
866,77103,212,-34.5249979339,-71.7749993099,104,449
867,77105,182,-34.5249979257,-71.674999478,106,449
868,77106,1040,-34.5249979321,-71.6249996047,107,449
869,77107,631,-34.5249979297,-71.5749997304,108,449
870,77108,1530,-34.5249979231,-71.524999805,109,449
871,77109,916,-34.5249979379,-71.4749999143,110,449
872,77110,180,-34.5249979243,-71.4250000056,111,449
873,77112,1010,-34.5249978844,-71.3250001928,113,449
874,77113,14833,-34.5249978874,-71.2750002825,114,449
875,77114,4433,-34.5249979002,-71.2250003894,115,449
876,77115,1621,-34.5249979133,-71.1750004875,116,449
877,77116,8338,-34.524997924,-71.1250006095,117,449
878,77117,9008,-34.5249979152,-71.0750006973,118,449
